113.31584167480469	(8, 12, 2)	[0.46194460219137556, -0.5366371153017693, 0.6012866770924716, 0.3600538032005549, -0.8889758290518437, 0.3260984908692235, 0.5457152419198206, -0.3080134298585038, -0.6626860191260138, -0.2063189311438245, 0.8441208849812689, -0.26473908343866204, 0.06371033701238393, -0.9807355441815091, 0.4106106152450748, 0.17241115098155047, -0.16846906542163853, -0.13115920024132133, -0.40037610547238156, 0.6527013183949633, 0.09168586015796287, 0.7693835286061121, 0.6012756780887605, 0.12749533506772281, 0.11558788328819802, -0.08050681460329057, -0.933160232930194, 0.9179430657455785, -0.80482903863959, 0.24563862910984002, -0.5576975877584316, -0.5398893301863861, -0.17607934234403633, -0.03748044605479084, 0.08070972790386532, -0.7964611699645678, -0.5961498774711951, 0.22306626705066424, -0.45385872172636743, -0.2829508490141741, -0.01087668894514926, -0.9637735401052241, -0.7388583229480594, -0.7288790266130001, 0.8082697209255112, 0.10084756550003604, 0.7381075313105745, 0.6743150893229597, 0.7504259349675666, 0.6427752914426845, -0.9330816168510017, -0.2360838065603026, -0.9856718741506403, -0.9200860685632708, -0.3578357754902066, 0.7480888241838444, -0.6171972079668064, 0.00791948571193335, -0.9959235471023096, 0.3775059932401488, -0.685337926151663, 0.8883633968407749, -0.033980328628002265, -0.03348155444633738, 0.9890845876897896, 0.6811608910299449, -0.6682454317380233, -0.6711715830560463, -0.20292006527755957, -0.8426424354099344, 0.7594654166434809, 0.3538668016873381, -0.6642667071643722, 0.8324664243989683, 0.7114775953942039, -0.6554503936323659, 0.682048838193275, 0.8469224337902024, -0.8721462941390683, -0.9177950231743408, -0.35318964415991183, -0.20686120103895833, -0.2768429229872884, 0.44922550152680785, -0.34792491301510764, 0.4506951846587186, -0.41993623643676137, 0.6022744739395354, 0.0828676308035019, 0.10124757202287937, -0.14248507058877768, -0.8748231736106011, 0.8437791596825783, -0.78733581584964, 0.5620856998264514, -0.5638978987518419, -0.43390210241272587, 0.34237422029307996, -0.8681108226583556, 0.8644328887033732, -0.1318904352248853, -0.7082857295789458, 0.061736449307303376, -0.1661825092048288, -0.9250693978226856, -0.6282301371245973, 0.48752004030931073, 0.8897310622042947, 0.9161011156469947, 0.21508200120084142, 0.13646161297444315, 0.3312099973547482, 0.7298659778653378, 0.9707661213412018, 0.9910368689126015, 0.06921954439831479, 0.3797212373354304, -0.29349249349989015, -0.362500953712817, 0.3159019307780946]
118.83871459960938	(8, 12, 2)	[0.2445424685353177, -0.07274937735902998, -0.7019043832439349, 0.41336497228114477, -0.925319620261019, -0.01409386353465858, -0.020624537360379946, -0.9988851178733638, 0.3454144320108752, 0.9152195338300133, 0.763310209871517, 0.21098163082912258, -0.036110057914413796, 0.7448555570186353, -0.7984171024654692, 0.9190556656807587, 0.10865372403064266, 0.26843061280544434, 0.9933844090029289, -0.7296253192670192, -0.8653457467470025, 0.3523584182472115, 0.9848060886075505, -0.046628802475600084, 0.23550856332708392, -0.6160844700900665, 0.918465295941395, -0.3630387909517918, 0.2984739683003883, 0.9030033283563286, -0.757398125685194, 0.1728324836595887, -0.39062573252693134, -0.8368011033950766, 0.31990146599320934, 0.40020075900781493, 0.7060128170827462, -0.9553357192584442, -0.12928952719912945, 0.49547675042150296, 0.7063815084008047, 0.08022031595461465, -0.48011128783292034, -0.8086122189679332, -0.739363307956868, 0.22221466979670024, -0.0653212121493627, 0.3865054682982487, -0.8294230372504581, 0.6094204331005095, 0.48515162776892296, -0.6199536977905749, 0.94066931898553, 0.26475863498601204, 0.3260670731520672, 0.7761897370764139, -0.2420401706919013, 0.303228637171546, 0.021152561104065715, 0.019833893500457167, -0.10793295719229024, 0.3462248281894251, -0.45733777603024106, 0.21346311898149106, 0.7527767241502117, -0.9595033007620284, -0.36907696023381553, 0.9487087338151536, 0.38273272689473004, -0.6287617122920206, 0.07933117305385795, -0.7114618108984392, -0.7015992531078501, -0.3280736357001921, 0.8211528355525375, 0.9270373605115765, 0.13400305546238322, 0.6824331425406707, -0.7482725770206251, -0.23940707785523352, 0.2727030727491113, -0.2045057831927546, -0.23041810486490433, 0.5875465606810155, 0.6301250710848236, 0.9886551677782853, -0.3315880662127979, -0.6622497621245429, 0.0985067763091747, -0.26576740563282786, 0.9529819666755355, 0.0966114436474721, 0.21785615919741153, -0.026419133878938572, 0.65328783986986, -0.07385652961108513, 0.6539717690086828, 0.41680710730994086, 0.8874830520653636, 0.0032326815149978927, -0.3551578226575751, 0.2870629753157412, -0.8518174563291174, 0.06705084892423807, 0.5337230820583003, -0.7754587347044815, 0.5667922330090007, 0.6451552536114629, 0.46125251727130157, -0.3183405136820434, -0.42146764824356153, -0.5847079442349374, -0.05318781200911338, -0.6988292842483677, 0.8010239753125594, -0.9787338171849442, 0.5677945203347277, -0.7142507803000502, -0.07599348876950751, -0.6845863303590234]
118.71649932861328	(8, 12, 2)	[-0.26276795531116437, -0.8786794744233213, 0.05691207205134963, 0.2870565767502091, 0.05593382298286187, -0.01409386353465858, -0.6452226220862611, 0.7447804067087753, -0.6622585791103333, 0.15405313596477344, -0.7085671380359937, -0.4943298443771098, 0.676897989322294, -0.8501297889813157, -0.20589025027882069, -0.12473103607233815, 0.9472823745494225, -0.1754515598789188, -0.341835973844667, 0.6267575835825618, 0.4944874564653474, -0.7435066592411559, 0.5533314114504722, -0.20499565524961127, -0.15184604465073237, 0.2963112182353158, 0.02869626467395392, 0.736151474793524, 0.19853246785077294, 0.03192226680973387, 0.9122255544306506, 0.1728324836595887, -0.39062573252693134, -0.8368011033950766, 0.8306393497670013, -0.6541780259392787, -0.9686633285956936, 0.004256766139195678, -0.5467382586757172, 0.9435660655267066, -0.017299979084008488, -0.0160961806062907, -0.6676653583376213, -0.8111623083789856, -0.5701093981952983, -0.8234939136919261, 0.04452284035451681, -0.5967123215106509, 0.7745441704273492, 0.9922806148030976, -0.08099789475355035, 0.6010152630988532, -0.4406843707509458, -0.02977018744622062, -0.1057456347158281, -0.2785612183516244, 0.7478803170361408, 0.718762803701847, -0.06994284452537225, -0.2216241795125169, 0.08384140169221443, 0.8620700154225818, -0.7703893875068, 0.3671248491186765, 0.7527767241502117, 0.8454346997226729, -0.5870595394368252, -0.14114176264501954, 0.38273272689473004, -0.7228057763959603, 0.6397246389420306, 0.4956194768772384, 0.8209945116854056, -0.9954003020660592, -0.52575859855825, -0.06781044203390318, -0.49968375288381583, 0.6824331425406707, -0.7188171584492398, -0.7926682313084488, 0.8732419768235047, 0.43637161695195203, -0.23041810486490433, 0.19238144906185095, 0.048549968031789126, -0.07597820953784096, -0.16322819915308773, -0.1672798731503926, 0.0985067763091747, 0.1409967624991475, -0.5284931139568738, 0.019206653314115307, 0.8776521995229192, -0.026419133878938572, -0.7823201030821816, 0.5836608521702424, 0.6539717690086828, -0.7761855918542693, 0.2396178876834516, 0.896659669418238, -0.8980797563011809, 0.10438077334244467, 0.9083121623929054, -0.09440952241407596, 0.23659452366108913, 0.3500997341459573, -0.08453165348724134, 0.388831083946773, 0.46125251727130157, 0.5175183362992091, 0.9579253291620553, -0.1724984642156855, 0.011661756053359618, -0.051453965921931744, -0.9891155086518335, -0.25635223158639064, 0.7873247918493389, -0.313002763963077, 0.37403354657686205, -0.44032759834744506]
118.87824249267578	(8, 12, 2)	[0.47690228569441806, -0.4255242921042057, -0.2889356148297828, 0.9822533225566066, -0.3942335097876637, -0.9425008206540255, 0.5796825003789758, 0.35894745196883915, -0.6626860191260138, -0.2640117517220095, 0.026229281093893775, 0.8191030900256449, 0.7723712048468168, -0.9807355441815091, 0.4106106152450748, 0.17241115098155047, -0.02117419178445812, -0.017454515858269737, -0.9585013804801878, 0.9320047705098413, 0.09168586015796287, 0.7693835286061121, -0.5268529463689884, 0.719404329304018, 0.11558788328819802, -0.8614017167730383, 0.31591797715567393, -0.9951911971909597, 0.09483776727188853, -0.5254674645537818, 0.11156979695389468, 0.0841267542729427, -0.17607934234403633, -0.03748044605479084, -0.24338943638384936, -0.7964611699645678, 0.49107812545481133, 0.004256766139195678, 0.465248414932929, 0.45781778340197965, 0.005193428452829885, -0.5915317213222457, -0.7388583229480594, -0.44322127448432935, -0.5984625299254576, 0.9540946280178892, 0.7381075313105745, 0.6743150893229597, -0.9815815318730383, 0.6427752914426845, -0.6904181094939694, -0.2360838065603026, -0.4825654086418085, -0.9200860685632708, -0.8702020523951917, 0.7480888241838444, -0.6171972079668064, 0.00791948571193335, -0.40199004988207343, 0.38618876552153303, -0.685337926151663, -0.7745192259687552, -0.033980328628002265, -0.03348155444633738, 0.6683302381312684, 0.3894979338164255, -0.5870595394368252, -0.6711715830560463, -0.6402091285139098, 0.50621505181657, 0.44174354234632385, -0.44420517456514363, -0.6642667071643722, 0.8324664243989683, 0.29468932215750776, 0.1404855425838083, 0.10278416686238256, -0.03618147722034326, -0.3682433198213537, -0.9177950231743408, 0.556819134852591, -0.5939993869710842, -0.2768429229872884, -0.8126143499022591, -0.47311361068515356, -0.20964706762397056, -0.41993623643676137, -0.7734673610356786, 0.35207432678895945, 0.10124757202287937, 0.45657240886377526, -0.8748231736106011, -0.011913077607980549, 0.33086186792516425, 0.5620856998264514, -0.759694673748921, 0.6773026444887529, 0.9205497519714829, 0.23040327122960802, -0.9053306657095284, -0.1318904352248853, 0.1781638381249968, -0.6969362121471674, -0.1661825092048288, -0.905661423067663, 0.14212265347096698, 0.48752004030931073, 0.38458921520529743, 0.6933602750338397, 0.38150997661933306, -0.502862834058678, 0.8884228779640484, 0.7298659778653378, -0.5322824259123298, 0.9910368689126015, 0.640787346155123, 0.3797212373354304, -0.29349249349989015, -0.35587458491723445, 0.21068202309531037]
118.78549194335938	(8, 12, 2)	[-0.26276795531116437, -0.07274937735902998, 0.7679285290535585, 0.3251055109938201, -0.13982896113315402, 0.49274102615834625, 0.7754255947096889, -0.5827645417988636, 0.46883442815801635, 0.9152195338300133, 0.11732131898609643, 0.17608541957223012, -0.4416302345973362, -0.8501297889813157, -0.8602365973679751, -0.036329097346723405, 0.11821880182257605, -0.28774396554016235, 0.9206611042335644, 0.419757641983723, -0.32231309246103823, -0.7435066592411559, 0.2173676061733789, -0.9293950939773834, -0.724161750287772, -0.7235405421823662, -0.565639449338883, -0.2458761369854694, -0.691503159095729, 0.4181322804007186, 0.11987050692776591, -0.30772248748742337, -0.6171952530799667, 0.26010230186526817, 0.524487860937741, -0.6537791929997254, 0.061262830710204996, -0.27142152871025504, -0.5467382586757172, 0.12186702079096468, 0.1667020098989469, -0.5029355586609023, -0.610097700565381, 0.918844673179555, 0.7653333477702298, -0.8234939136919261, 0.2680450036090156, -0.622632354203615, 0.7012037381905689, 0.25883624800035165, -0.6534453092515131, 0.42108156264608687, 0.8676109634709004, -0.5905696417239976, -0.1057456347158281, 0.8775748891946011, -0.4961036187637333, 0.1455609417557724, -0.06994284452537225, -0.9728967456241591, -0.6138179600809697, 0.8620700154225818, -0.14276114262502748, 0.3671248491186765, -0.8042418513464635, -0.754407951234968, -0.5870595394368252, -0.9960026811409308, -0.4399278097005317, -0.8658660542185563, -0.7309170933757763, 0.7338843355964355, 0.8345860810491101, 0.23804721001081375, -0.13266604529329284, -0.8891831057063952, -0.49968375288381583, -0.40623963148423403, -0.7188171584492398, 0.4288481610235295, 0.10375023082883139, -0.17272668034021388, -0.23041810486490433, 0.6477263157256223, -0.46384887687995824, 0.9886551677782853, -0.2700968195482554, -0.14893705342740304, -0.966991543583859, -0.7786584064453916, -0.5284931139568738, -0.8385679298195943, 0.8776521995229192, 0.4601151794349727, 0.6396155994853616, 0.35777505198945514, 0.4450928700923533, 0.04125285048082161, 0.4321766143064363, -0.0419594983047924, -0.8980797563011809, 0.10438077334244467, -0.11610889837331251, 0.06705084892423807, -0.49611719738206905, 0.3240891119799487, -0.08453165348724134, -0.29476683474632415, 0.1490368871383232, 0.5175183362992091, 0.47872988486209445, -0.5847079442349374, 0.38507328001258245, -0.9049690305781362, 0.8976666778751294, -0.2007510029484112, 0.7858854410414273, 0.7646983739405337, -0.5198169795745422, 0.320830657722627]
118.68003845214844	(8, 12, 2)	[-0.26276795531116437, -0.07274937735902998, 0.7679285290535585, 0.3251055109938201, -0.13982896113315402, 0.49274102615834625, 0.7754255947096889, -0.5827645417988636, 0.46883442815801635, 0.9152195338300133, 0.11732131898609643, 0.17608541957223012, -0.4416302345973362, -0.8501297889813157, -0.8602365973679751, -0.036329097346723405, 0.11821880182257605, -0.28774396554016235, 0.9206611042335644, 0.419757641983723, -0.32231309246103823, -0.7435066592411559, 0.2173676061733789, -0.9293950939773834, -0.724161750287772, -0.7235405421823662, -0.565639449338883, -0.2458761369854694, -0.691503159095729, 0.4181322804007186, 0.11987050692776591, -0.30772248748742337, -0.6171952530799667, 0.26010230186526817, 0.54306429685511, -0.6537791929997254, 0.061262830710204996, -0.27142152871025504, -0.5467382586757172, 0.12186702079096468, 0.1667020098989469, -0.5029355586609023, -0.610097700565381, 0.918844673179555, 0.7653333477702298, -0.8234939136919261, 0.2680450036090156, -0.622632354203615, 0.7012037381905689, 0.25883624800035165, -0.6534453092515131, 0.42108156264608687, 0.8676109634709004, -0.5905696417239976, -0.1057456347158281, 0.8775748891946011, -0.4961036187637333, 0.1455609417557724, -0.06994284452537225, -0.9728967456241591, -0.6138179600809697, 0.8620700154225818, -0.14276114262502748, 0.3671248491186765, -0.8042418513464635, -0.754407951234968, -0.5870595394368252, -0.9960026811409308, -0.4399278097005317, -0.8658660542185563, -0.7309170933757763, 0.7338843355964355, 0.6099313049787125, 0.23804721001081375, -0.13266604529329284, -0.8891831057063952, -0.49968375288381583, -0.40623963148423403, -0.7188171584492398, 0.4288481610235295, 0.10375023082883139, -0.17272668034021388, -0.23041810486490433, 0.6477263157256223, -0.46384887687995824, 0.9886551677782853, -0.2700968195482554, -0.14893705342740304, -0.966991543583859, -0.7786584064453916, -0.5284931139568738, -0.8385679298195943, 0.8776521995229192, 0.4601151794349727, 0.6396155994853616, 0.35777505198945514, 0.4450928700923533, 0.04125285048082161, 0.4321766143064363, -0.0419594983047924, -0.8980797563011809, 0.10438077334244467, -0.11610889837331251, 0.06705084892423807, -0.49611719738206905, 0.3240891119799487, -0.08453165348724134, -0.29476683474632415, 0.1490368871383232, 0.5175183362992091, 0.47872988486209445, -0.5847079442349374, 0.38507328001258245, -0.9049690305781362, 0.8976666778751294, -0.2007510029484112, 0.7858854410414273, 0.7646983739405337, -0.5198169795745422, 0.320830657722627]
118.43777465820312	(8, 12, 2)	[0.2445424685353177, -0.5366371153017693, 0.8808345732495655, -0.8557838213308611, 0.4831563239468155, -0.2667631029783888, -0.4799870919658342, 0.7447804067087753, -0.03454964757488299, 0.993865892633494, -0.11476225468374274, -0.26473908343866204, 0.06371033701238393, 0.8455994604383075, 0.4106106152450748, 0.9190556656807587, 0.9453474106502153, -0.9441127230987902, -0.9585013804801878, -0.731893947615107, -0.32231309246103823, 0.985039521014214, 0.9848060886075505, 0.7817588771768091, 0.3648216611531352, 0.6891502428654062, 0.9931798284702422, 0.22560985557114677, -0.691503159095729, -0.28369213217737466, 0.35488213988320205, -0.5409810970080983, -0.18513979130150132, -0.8368011033950766, -0.24338943638384936, 0.40020075900781493, 0.2318051994762882, 0.22306626705066424, 0.46457193586628676, 0.8703201889901102, 0.4692707719639022, 0.3192377648825928, -0.610097700565381, 0.4340614394381672, 0.7401840053229229, 0.3108068415273533, 0.7381075313105745, 0.7641727041556738, -0.7307106604165128, -0.5414329069971842, 0.30130576688662414, -0.948030384509962, -0.7475587976070215, -0.9200860685632708, -0.6055069280702554, 0.7841658466562758, -0.700707894160743, -0.11542682173591512, -0.4746658855103918, 0.3775059932401488, -0.04705141328552931, -0.23376252165463424, 0.4668914111388893, 0.4187653431682684, 0.7527767241502117, 0.6811608910299449, -0.8399394372670448, 0.9829868876496961, 0.18253121290727803, -0.8426424354099344, -0.4515371770919532, 0.3538668016873381, -0.061444466914039264, 0.4826574861692975, 0.8211528355525375, 0.439688259685868, 0.682048838193275, 0.6824331425406707, 0.41310805169392806, -0.16510197220093392, 0.15332998434467737, -0.15451626412127473, -0.04314569710644167, -0.6285279089742462, 0.9974784183403171, -0.20964706762397056, 0.7582282818338377, -0.8650248157065328, -0.7183060212109749, -0.5384284779880837, 0.9529819666755355, -0.24313645883195312, 0.665102080137816, -0.7203557632555992, -0.24114577882937938, -0.43020285284478743, -0.8118247679335564, -0.37369529839757576, 0.2396178876834516, 0.8032121586892162, -0.6149200861604385, -0.3068276560652443, -0.8518174563291174, -0.3936898772985177, -0.6825052235799665, -0.8813824754887734, 0.562811648154236, -0.4283968856065361, 0.35146032458016363, 0.7237060623063323, 0.9809619767792932, 0.14118012384954115, 0.7298659778653378, -0.7386110123448797, -0.2781139814909084, -0.1688333192319198, 0.7858854410414273, -0.47647832092648335, -0.29593507990268475, 0.6200448242261263]
113.31761932373047	(8, 12, 2)	[0.9823426771911006, -0.15082775039282859, 0.8808345732495655, 0.3251055109938201, -0.39249009326414286, 0.49274102615834625, -0.4799870919658342, -0.4342521445838876, -0.03454964757488299, 0.06526050857466936, 0.11732131898609643, 0.17608541957223012, 0.7723712048468168, 0.8455994604383075, 0.41454173978837083, 0.048710668375601285, -0.02117419178445812, -0.1754515598789188, 0.2449539166142236, 0.3195784971929978, -0.44942397828142877, 0.985039521014214, 0.700738382524078, 0.9152542874610663, 0.2967336547009103, 0.42172313565656383, 0.9931798284702422, 0.22560985557114677, -0.1512817176594068, -0.28369213217737466, 0.11156979695389468, 0.19403084432818174, -0.6171952530799667, -0.9361785852600701, 0.31990146599320934, 0.40020075900781493, 0.49107812545481133, 0.9001658992733155, -0.9504449460368085, -0.3633091618025459, 0.005193428452829885, -0.5029355586609023, 0.36760685595665454, 0.918844673179555, 0.7878837136290192, -0.0732678960024975, 0.2680450036090156, -0.5967123215106509, -0.9232284990689754, -0.5414329069971842, 0.8573486625085331, -0.6199536977905749, 0.8676109634709004, 0.7400137887862783, -0.1057456347158281, 0.8775748891946011, 0.5884442528406735, 0.8526573560600377, -0.06994284452537225, -0.3587060306991148, -0.3415587172966039, -0.7656998479425694, -0.08768881804473927, 0.19066183426254946, -0.8042418513464635, -0.754407951234968, -0.9997263916621342, -0.08126513570549099, 0.18253121290727803, -0.4011212303831626, -0.7506664594584791, 0.24635426340961653, -0.26299271945964353, 0.9938231612083164, 0.6034192046233422, -0.8891831057063952, -0.49968375288381583, 0.6824331425406707, 0.5454784768096688, 0.5973208431684789, -0.07217765971234336, -0.15451626412127473, -0.23041810486490433, 0.6477263157256223, 0.9974784183403171, 0.9886551677782853, -0.3824889977509953, -0.6622497621245429, -0.966991543583859, -0.7786584064453916, -0.8504951465446495, -0.8385679298195943, 0.48823695375759746, 0.4601151794349727, 0.6396155994853616, -0.9233563660574007, 0.6773026444887529, -0.7276743362319975, -0.689774230909165, -0.4754939814380734, -0.5548866328891837, -0.16486522445764473, -0.8518174563291174, 0.8604129130294005, -0.905661423067663, -0.7754587347044815, 0.43625763644302795, -0.4283968856065361, -0.6259335459215727, 0.8948868851508269, -0.42146764824356153, -0.7641373794339199, 0.38507328001258245, -0.9049690305781362, -0.2781139814909084, -0.1688333192319198, 0.7858854410414273, 0.39568914493819807, 0.1661600330538313, -0.950868870355795]
118.75460815429688	(8, 12, 2)	[-0.08865599142663116, -0.15082775039282859, 0.7679285290535585, 0.8010575160152296, -0.13982896113315402, 0.49274102615834625, 0.6550582720192235, -0.5827645417988636, 0.018248096762796484, -0.8996779704108335, 0.11732131898609643, -0.4255046170209149, 0.7723712048468168, -0.7360849485639083, -0.8602365973679751, -0.4570504081624165, 0.11821880182257605, -0.06543876262241799, 0.9206611042335644, 0.419757641983723, -0.5033551569767079, -0.9759071648501199, 0.700738382524078, -0.004780098753408346, 0.2967336547009103, -0.7235405421823662, -0.565639449338883, 0.22560985557114677, -0.9524846716323052, 0.42577236639892035, 0.11156979695389468, -0.30772248748742337, 0.7130596101036499, 0.26010230186526817, 0.8306393497670013, 0.11971138576859386, 0.7616370258544294, 0.004256766139195678, -0.9504449460368085, 0.12186702079096468, 0.7063815084008047, 0.08022031595461465, -0.8689068287820878, 0.918844673179555, -0.5619658204195861, -0.3507003417629506, 0.37740771903016124, 0.5570745703313404, 0.48796926934381313, -0.9476989601380787, -0.6534453092515131, -0.948030384509962, -0.12035662976809536, 0.5373171390603231, -0.12266996721045187, -0.1466978655538731, -0.6171972079668064, -0.44402923756007806, -0.6227945420802985, -0.0026709484343003798, 0.1569896439841325, 0.8620700154225818, -0.08768881804473927, -0.03348155444633738, 0.49838149378814367, 0.8454346997226729, 0.07229295507717606, 0.6113560203276882, -0.7149547958972879, -0.9344604655463286, 0.5764047825262337, -0.35255538575579104, 0.817922925595264, 0.4858464459255929, -0.13266604529329284, 0.4909007537118757, -0.49968375288381583, 0.363339974711673, -0.3682433198213537, -0.0017565990261692033, 0.10375023082883139, 0.47113925962612235, 0.7524226189568894, 0.6477263157256223, -0.14256291485213013, 0.712099597013242, -0.2700968195482554, -0.14893705342740304, 0.35207432678895945, -0.7786584064453916, -0.5284931139568738, -0.8385679298195943, -0.011913077607980549, 0.4601151794349727, 0.6396155994853616, 0.35777505198945514, -0.9014450777113228, -0.7276743362319975, -0.20763692162106318, 0.8644328887033732, -0.8980797563011809, 0.6979999522360867, 0.8785948062128448, -0.19548493996537109, 0.4949427535558566, -0.7754587347044815, -0.0832163359688245, -0.29476683474632415, -0.7726029017361862, -0.10365824645959698, 0.19275719319795193, -0.7641373794339199, 0.7298659778653378, -0.9049690305781362, 0.8976666778751294, -0.5409729222541484, 0.7858854410414273, 0.7646983739405337, -0.5198169795745422, -0.8149056784217281]
118.2587890625	(8, 12, 2)	[-0.08865599142663116, -0.15082775039282859, -0.22277226104375075, 0.8010575160152296, 0.9805587112285437, 0.49274102615834625, 0.6550582720192235, 0.38601456723340877, 0.018248096762796484, -0.8996779704108335, 0.11732131898609643, 0.04684731700721567, 0.028867636908027183, -0.870721905469362, -0.8602365973679751, -0.4570504081624165, 0.11821880182257605, -0.28774396554016235, 0.9206611042335644, 0.3190586435692095, -0.5033551569767079, -0.05402559131942142, 0.6012756780887605, -0.004780098753408346, -0.8463772090133663, 0.42172313565656383, -0.565639449338883, 0.46988522795674537, -0.9524846716323052, 0.13021371468196685, 0.11987050692776591, -0.30772248748742337, 0.7130596101036499, 0.26010230186526817, 0.8306393497670013, -0.6537791929997254, 0.2318051994762882, 0.004256766139195678, -0.12928952719912945, 0.12186702079096468, -0.9921995162443262, 0.08022031595461465, -0.8689068287820878, 0.7467995749199556, -0.5784769949593256, -0.0732678960024975, -0.0653212121493627, 0.5570745703313404, 0.48796926934381313, -0.9476989601380787, -0.9330816168510017, -0.948030384509962, -0.4825654086418085, 0.5373171390603231, 0.3260670731520672, 0.552154993181176, -0.6171972079668064, 0.1455609417557724, -0.6227945420802985, 0.3775059932401488, -0.685337926151663, 0.8620700154225818, -0.08768881804473927, 0.7348193818059978, 0.7527767241502117, 0.8454346997226729, 0.07229295507717606, 0.6113560203276882, -0.7149547958972879, -0.2877331137952568, 0.5764047825262337, 0.24635426340961653, -0.6642667071643722, 0.4858464459255929, -0.7407165862000871, 0.3049882978841447, -0.49968375288381583, 0.9314384155460753, -0.7188171584492398, -0.34537316944733254, 0.10375023082883139, -0.17272668034021388, 0.7524226189568894, 0.6477263157256223, 0.4557327080284548, -0.07597820953784096, 0.7582282818338377, -0.14893705342740304, 0.05935924410818716, -0.39380000972166695, -0.5284931139568738, -0.2895757864382623, 0.07678370418070601, 0.4601151794349727, -0.7615457714442089, 0.35777505198945514, -0.9014450777113228, -0.7276743362319975, -0.20763692162106318, 0.8644328887033732, -0.8980797563011809, 0.6979999522360867, -0.4861792104655491, -0.1661825092048288, 0.4949427535558566, -0.7754587347044815, -0.0832163359688245, -0.9352027735902211, 0.1490368871383232, 0.5175183362992091, 0.19275719319795193, -0.7641373794339199, 0.7298659778653378, -0.9049690305781362, -0.654452358646507, -0.5409729222541484, 0.7858854410414273, 0.7646983739405337, 0.6952243965992979, 0.320830657722627]
